iter	Logloss
0	0.6863138729
1	0.679264833
2	0.6730820905
3	0.6664390365
4	0.6601153144
5	0.6536112336
6	0.6478314753
7	0.6422445141
8	0.6381456051
9	0.6331908436
10	0.6283516756
11	0.6220489461
12	0.6173285217
13	0.6127853405
14	0.6085758623
15	0.6035912067
16	0.598998229
17	0.5949539921
18	0.5905973873
19	0.5865849994
20	0.5826741517
21	0.5777975748
22	0.5739486318
23	0.5704590067
24	0.566503904
25	0.5625859025
26	0.558816607
27	0.555528743
28	0.5512806219
29	0.5481523058
30	0.5446881353
31	0.5415018376
32	0.5379458078
33	0.5352257504
34	0.5319797608
35	0.5291675851
36	0.5265488632
37	0.5238556457
38	0.5208834654
39	0.5184334261
40	0.5163610545
41	0.5144025712
42	0.5126130033
43	0.5098213164
44	0.5071504284
45	0.5039624274
46	0.5008487669
47	0.4985811216
48	0.4962591988
49	0.4944135946
50	0.492350184
51	0.4903775026
52	0.4883268034
53	0.4861650357
54	0.4840408985
55	0.4819393708
56	0.4796162116
57	0.4781421229
58	0.4760716369
59	0.4743724364
60	0.4724074784
61	0.4709740985
62	0.4691164647
63	0.467410481
64	0.465975031
65	0.46357202
66	0.4618026112
67	0.4605245675
68	0.4592878498
69	0.4577115818
70	0.4566322525
71	0.4549825612
72	0.4532993588
73	0.4515692321
74	0.4501560961
75	0.448694592
76	0.4472006857
77	0.4457974568
78	0.4440017698
79	0.4423529948
80	0.4415953783
81	0.4404761886
82	0.4392810276
83	0.4376674758
84	0.4362970531
85	0.4357287039
86	0.4342615378
87	0.4328861622
88	0.4320034258
89	0.4305949636
90	0.4290295343
91	0.4282722619
92	0.4269192443
93	0.4259112826
94	0.4247418043
95	0.4235831916
96	0.4227143469
97	0.4219881385
98	0.4210668157
99	0.420360438
100	0.4190159598
101	0.4185950698
102	0.4178031102
103	0.4166072238
104	0.415648168
105	0.4147372871
106	0.4134011157
107	0.4119710878
108	0.4114058577
109	0.4104456554
110	0.4095612474
111	0.4085513206
112	0.4076725244
113	0.4071552585
114	0.4066071972
115	0.4055852979
116	0.4049544364
117	0.4042232881
118	0.403189203
119	0.4026043242
120	0.4015869557
121	0.4008443402
122	0.4001061224
123	0.3998820423
124	0.3992428927
125	0.398173632
126	0.3977137984
127	0.3971026622
128	0.3964446083
129	0.3958990657
130	0.3954254437
131	0.3951062554
132	0.3947051951
133	0.393789132
134	0.3929718777
135	0.3925868664
136	0.3919823845
137	0.3914150776
138	0.3907992953
139	0.3900688062
140	0.3896753044
141	0.3889230865
142	0.388269679
143	0.3875062021
144	0.3869335215
145	0.386527546
146	0.3861430047
147	0.3856217505
148	0.3850874434
149	0.3844758791
150	0.38379636
151	0.383340946
152	0.3829251965
153	0.3823920224
154	0.3821541721
155	0.3812949271
156	0.3805578967
157	0.3803227285
158	0.3799833584
159	0.3793959998
160	0.378875009
161	0.3784060329
162	0.3781704322
163	0.3773191265
164	0.3768005494
165	0.3763073044
166	0.3760332175
167	0.3757474673
168	0.3755445848
169	0.3753130687
170	0.3747396056
171	0.3743073191
172	0.3738490295
173	0.373594876
174	0.3727998348
175	0.3722671117
176	0.3719497008
177	0.3711056906
178	0.3705536122
179	0.3701600127
180	0.3696264717
181	0.3690310942
182	0.3687022466
183	0.3685059636
184	0.3679181049
185	0.3676283014
186	0.3670339675
187	0.3669225758
188	0.3666401715
189	0.3660834212
190	0.3656712226
191	0.3652494094
192	0.3649160128
193	0.3646895888
194	0.364378851
195	0.3637990393
196	0.3634416549
197	0.3630751216
198	0.362830923
199	0.362057562
200	0.3608107777
201	0.3604151968
202	0.3602486314
203	0.3598748024
204	0.3592910913
205	0.3586565432
206	0.3581506288
207	0.3577206111
208	0.3571476953
209	0.3569347657
210	0.3565962981
211	0.3562138915
212	0.3557854757
213	0.3550526165
214	0.3549193095
215	0.3546798181
216	0.3544184024
217	0.3541858714
218	0.3539154309
219	0.3535773209
220	0.353323522
221	0.3525631418
222	0.3522725831
223	0.3519560835
224	0.3516260214
225	0.3512589315
226	0.3509876165
227	0.3507960622
228	0.3502543335
229	0.3500711231
230	0.3497899406
231	0.3495903456
232	0.349319655
233	0.3490536124
234	0.3485297078
235	0.348112859
236	0.3475451309
237	0.3471986382
238	0.3470228025
239	0.3468358145
240	0.3465236991
241	0.3460233337
242	0.3456395889
243	0.3454996455
244	0.3452213731
245	0.3450491918
246	0.3445974113
247	0.3440650457
248	0.343562853
249	0.3434036825
250	0.3430640868
251	0.3428501356
252	0.3425983918
253	0.3424571032
254	0.3420475795
255	0.3418152228
256	0.3412979431
257	0.3410043139
258	0.3406754334
259	0.3403454144
260	0.3399059814
261	0.3393808138
262	0.3391289361
263	0.3388958682
264	0.3386591943
265	0.3383825385
266	0.3381341077
267	0.3375574053
268	0.337428378
269	0.3371434775
270	0.3370018156
271	0.3367780165
272	0.3362877295
273	0.3359468846
274	0.335650479
275	0.335584534
276	0.3352734833
277	0.3350816718
278	0.3348245345
279	0.3346811772
280	0.3345390792
281	0.334070443
282	0.3335825328
283	0.3332351049
284	0.3329740537
285	0.332491542
286	0.3323026385
287	0.3319215647
288	0.3316629413
289	0.3310931214
290	0.3309303885
291	0.3305466493
292	0.3303110175
293	0.3301671542
294	0.3296406007
295	0.3293591149
296	0.3290980041
297	0.3287147094
298	0.328240671
299	0.328034959
